VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
10021977646305939201_REF,CSH_CLLCTD_EXCHNG_SLD_CLLTRL,2019-09-30,9999-12-31,MNTRY,false,0
10276723308362691963_REF,WGHTD_AVRG_TM_PST_DU,2019-09-30,9999-12-31,RL,false,0
10310548703140933600_REF,NT_CMLTD_RCVRS_LTGTN_DRNG_PRD,2019-09-30,9999-12-31,MNTRY,false,0
10370576766397065305_REF,TTL_CMPRHNSV_INCM,2013-12-01,9999-12-31,MNTRY,false,0
10447639641125854752_REF,IMPRMNT_LSS_ADDTN,2013-12-01,9999-12-31,MNTRY,false,0
10625761857040475626_REF,CRRYNG_AMNT_CLLTRL_OBTND_PRD,2013-12-01,9999-12-31,MNTRY,false,0
10755392938081896465_REF,ACTRL_GN_LSS_CHG_FNNCL_ASSMPTN,2013-12-01,9999-12-31,MNTRY,false,0
11048243512134927963_REF,EQTY_FRM_BSNSS_CMBNTN_CHNG,2013-12-01,9999-12-31,MNTRY,false,0
11105292696563128214_REF,EQTY_FRM_SHR_BSD_PYMNT_CHNG,2013-12-01,9999-12-31,MNTRY,false,0
11122883669815963861_REF,GRSS_CRRYNG_AMNT_CLLTRL_OBTND_PRD,2019-09-30,9999-12-31,MNTRY,false,0
11155752204717548458_REF,ACCMLTD_CHNG_NGTV_CLLTRL_OBTND,2019-09-30,9999-12-31,MNTRY,false,0
11207418868416368889_REF,GN_LSS_DRCGNTN,2019-09-30,9999-12-31,MNTRY,false,0
11294697816498749024_REF,ECNMC_ACTVTY_INVST,2013-12-01,9999-12-31,ECNMC_ACTVTY_55385_REF_ECNMC_ACTVTY_INVST,false,0
11381913425434114974_REF,AMNT_CSH_EQVLNT_CLLCTD_NT_CSTS,2019-09-30,9999-12-31,MNTRY,false,0
11551214758248798519_REF,IMPRMNT_LSS_RVRSL,2013-12-01,9999-12-31,MNTRY,false,0
13098072663541273355_REF,RCLSSFCTN_INSTRMNT_EQTY_LBLTY,2013-12-01,9999-12-31,MNTRY,false,0
13109409736578551112_REF,ACCMLTD_NGTV_VL_ADJSTMNT_MR,2018-03-30,9999-12-31,MNTRY,false,0
13340907475493141665_REF,CNVRSN_DBT_EQTY,2013-12-01,9999-12-31,MNTRY,false,0
13342484621215892839_REF,OTHR_RCLSSFCTN_HDG_FRGN_OPRTN,2013-12-01,9999-12-31,MNTRY,false,0
13417561674237711791_REF,ACCMLTD_TTL_WRTFFS,2018-03-30,9999-12-31,MNTRY,false,0
1343878533097320678_REF,FRGN_CRRNCY_TRNSLTN,2013-12-01,9999-12-31,MNTRY,false,0
13701869675344776781_REF,ISSNC_PRFRNC_SHRS,2013-12-01,9999-12-31,MNTRY,false,0
13954865385766232297_REF,ACCMLTD_CHNG_NGTV_CLLTRL_OBTND_PRD,2019-09-30,9999-12-31,MNTRY,false,0
14010685629810865207_REF,RCVR_TO_STTMNT_PRFT_LSS,2013-12-01,9999-12-31,MNTRY,false,0
14201322484001342695_REF,ACCMLTD_IMPRMNT,2013-12-01,9999-12-31,MNTRY,false,0
14242093643207006424_REF,CNTRBTN_PD_PLN_PRTCPNT,2013-12-01,9999-12-31,MNTRY,false,0
14260327667032302333_REF,ACCMLTD_CHNGS_FV,2013-12-01,9999-12-31,MNTRY,false,0
14530696220134357986_REF,CRRYNG_AMNT_BFR_RSTTMNT,2013-12-01,9999-12-31,MNTRY,false,0
14543394195450354929_REF,INCRS_ALLWNC_DRCGNTN,2018-03-30,9999-12-31,MNTRY,false,0
14683086469168280223_REF,HLDNG_ENTTY_CD,2021-06-30,9999-12-31,STRNG,false,0
14747351583251506353_REF,GRNT_MXMM_AMNT_CNSDRD,2015-06-30,9999-12-31,MNTRY,false,0
14843193351371296448_REF,GDWLL_INCLDD_CRRYNG_AMNT,2013-12-01,9999-12-31,MNTRY,false,0
14908322317594720467_REF,GRSS_CRRYNG_AMNT,2013-12-01,9999-12-31,MNTRY,false,0
14959619857164496646_REF,ENTTY_CD,2021-06-30,9999-12-31,STRNG,false,0
15213274140460021143_REF,OTHR_CHNG_EQTY,2013-12-01,9999-12-31,MNTRY,false,0
15280305744003944858_REF,ISSNC_EQTY_OTHR_CPTL_INSTRMNT,2013-12-01,9999-12-31,MNTRY,false,0
15281074544004834307_REF,WRTFFS_DRNG_PRD,2019-09-30,9999-12-31,MNTRY,false,0
